PATH: D:\Program\dzh365(64)\data\SH\INFOEX.DAT
SIZE: 5252120
TOTAL_6DIGIT_CODES: 26610
UNIQUE_CODES: 26610

TOP 200 CODES BY FIRST OCCURRENCE:
600012: count=1 first=[64612]
600015: count=1 first=[67868]
600016: count=1 first=[71364]
600017: count=1 first=[75820]
600018: count=1 first=[78356]
600019: count=1 first=[82092]
600020: count=1 first=[86188]
600021: count=1 first=[89324]

CODE CONTEXTS:

=== CODE 000001 occurrence 1 at 28 (context_start=0) ===
0000: a8 fc 45 90 64 00 00 00 f2 67 00 00 d4 00 20 00
0010: 78 00 00 00 00 00 00 00 00 00 00 00 30 30 30 30
0020: 30 31 00 00 da 03 00 c0 db 27 35 01 16 27 35 01
0030: 00 00 00 00 79 14 97 3e 6e 5d 0d 41 53 f9 24 40
0040: d2 45 93 3f 89 50 e0 3f af bf 8d 40 bd 00 f6 41
0050: 07 96 2d 41 b1 1f e8 40 82 d7 f2 41 ba ad 0b 41
0060: 63 87 d1 52 07 4b 08 51 a2 e7 17 50 04 b8 83 4f
0070: ef c3 e3 50 61 3c 5b 50 2a 63 b4 52 c7 8d 53 51
0080: f6 36

=== CODE 000002 occurrence 1 at 284 (context_start=220) ===
0000: bd 38 97 49 00 00 00 00 00 00 00 00 a8 c2 dc 48
0010: bb a4 48 47 00 00 00 00 00 b0 10 45 00 00 00 00
0020: 00 00 9d 67 e6 4d 5d 63 10 4e 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0040: 30 30 30 30 30 32 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 9d 83 17 3e eb c6 28 40
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: b0 09 c5 41 e5 4e b9 41 1e 75 25 41 a8 05 a6 41
0080: 00 00 00 00 8a 39 69 51 ed 8c 37 50 f5 6d f1 4f
0090: 00 00 00 00 df a6 16 50 65 a6 c1 4f 30 5d 28 51
00a0: 40 c5 65 50 00 00

=== CODE 000003 occurrence 1 at 508 (context_start=444) ===
0000: 34 9f e0 4d f2 c6 82 49 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 33 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 02 10 37 3d 2d 08 bd 3f
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: 31 14 bb 41 c0 2e 84 41 fd be ab 40 de cf 6b 41
0080: 00 00 00 00 98 9a 19 4e 1e d1 74 4d 31 fc d6 4c
0090: 00 00 00 00 3b 50 6b 4d 90 d4 f7 4c 48 a9 d6 4d
00a0: 23 ae 0f 4d 00 00

=== CODE 000004 occurrence 1 at 732 (context_start=668) ===
0000: 32 de 94 49 32 de 94 49 00 00 00 00 00 00 00 00
0010: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0020: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0030: 00 00 00 00 00 00 00 00 00 00 80 3f 00 00 00 00
0040: 30 30 30 30 30 34 00 00 da 03 00 80 da 27 35 01
0050: 16 27 35 01 00 00 00 00 88 d7 55 3e 41 9b 65 40
0060: 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0070: e3 ac 2d 42 bd 20 f2 41 13 67 41 41 73 e0 9b 41
0080: 00 00 00 00 fd 17 8a 50 1a da 05 50 7e a0 93 4f
